,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
2833,3424,1,8610000US02532,138074,308,2017,02532
2840,442,1,8610000US02534,23636,70,2017,02534
2842,144,1,8610000US02535,10628,50,2017,02535
2845,2797,1,8610000US02536,126392,384,2017,02536
2852,1174,1,8610000US02537,46546,108,2017,02537
2857,1393,1,8610000US02538,36957,109,2017,02538
2863,1536,1,8610000US02539,105231,336,2017,02539
2868,5878,1,8610000US02540,280009,506,2017,02540
2879,67,1,8610000US02541,3547,18,2017,02541
2881,92,1,8610000US02542,8196,12,2017,02542
2883,1614,1,8610000US02543,107293,47,2017,02543
2888,6,1,8610000US02552,1795,4,2017,02552
2890,99,1,8610000US02553,3250,22,2017,02553
2893,4579,1,8610000US02554,314466,991,2017,02554
2899,810,1,8610000US02556,37295,112,2017,02556
2904,1336,1,8610000US02557,94306,237,2017,02557
2908,201,1,8610000US02558,5114,38,2017,02558
2913,1146,1,8610000US02559,59458,115,2017,02559
2918,340,1,8610000US02561,20834,40,2017,02561
2922,864,1,8610000US02562,36331,88,2017,02562
2928,3368,1,8610000US02563,137652,395,2017,02563
2935,57,1,8610000US02564,8955,19,2017,02564
2937,2167,1,8610000US02568,106387,379,2017,02568
2942,6321,1,8610000US02571,237666,333,2017,02571
2949,137,1,8610000US02574,7025,26,2017,02574
2953,497,1,8610000US02575,31781,98,2017,02575
2958,1034,1,8610000US02576,63605,86,2017,02576
2962,20529,1,8610000US02601,1017277,1229,2017,02601
2969,462,1,8610000US02630,21283,99,2017,02630
2971,146,1,8610000US02584,10848,50,2017,02584
2979,2194,1,8610000US02631,95804,294,2017,02631
2984,1827,1,8610000US02632,65317,281,2017,02632
2991,1479,1,8610000US02633,78489,243,2017,02633
2996,379,1,8610000US02635,18107,102,2017,02635
3001,54,1,8610000US02637,2659,10,2017,02637
3003,491,1,8610000US02638,20007,91,2017,02638
3007,618,1,8610000US02639,28429,121,2017,02639
3011,231,1,8610000US02641,10810,40,2017,02641
3016,422,1,8610000US02642,18177,118,2017,02642
3021,96,1,8610000US02643,3415,27,2017,02643
3024,326,1,8610000US02644,14085,78,2017,02644
3029,2007,1,8610000US02645,98453,264,2017,02645
3036,761,1,8610000US02646,30198,106,2017,02646
3041,38,1,8610000US02647,2890,13,2017,02647
3043,1464,1,8610000US02648,46795,201,2017,02648
3048,4009,1,8610000US02649,144207,465,2017,02649
3054,413,1,8610000US02650,20952,36,2017,02650
3059,378,1,8610000US02651,18843,63,2017,02651
3062,255,1,8610000US02652,12595,71,2017,02652
3067,3190,1,8610000US02653,140574,401,2017,02653
