,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng,Unnamed: 0,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
2941,12123,2195,82478,5492,60.6,Nassau,NY,New York,42.52279,-73.60792,17442,351,1,8610000US12123,17784,84,2017,12123
2942,12124,249,98220,675,88.8,New Baltimore,NY,New York,42.449059999999996,-73.79271999999999,17446,18,1,8610000US12124,502,8,2017,12124
2943,12125,612,54015,1385,29.6,New Lebanon,NY,New York,42.47598,-73.40481,17448,361,1,8610000US12125,12440,49,2017,12125
2944,12130,308,54015,729,638.3,Niverville,NY,New York,42.44206,-73.6595,17453,70,1,8610000US12130,3744,9,2017,12130
2945,12131,39,53750,85,6.3,North Blenheim,NY,New York,42.45965,-74.46803,17455,16,1,8610000US12131,354,3,2017,12131
2946,12132,127,49395,267,70.2,North Chatham,NY,New York,42.47052,-73.63004000000001,17452,73,1,8610000US12132,2485,13,2017,12132
2947,12134,1476,53269,4186,7.0,Northville,NY,New York,43.26619,-74.22875,17460,393,1,8610000US12134,13641,77,2017,12134
2948,12136,346,102829,699,17.1,Old Chatham,NY,New York,42.43619,-73.55835,17465,86,1,8610000US12136,2455,28,2017,12136
2949,12137,687,64213,1762,27.0,Pattersonville,NY,New York,42.85608,-74.12775,17468,198,1,8610000US12137,5720,33,2017,12137
2950,12138,1357,58036,3300,15.2,Petersburg,NY,New York,42.74723,-73.37207,17472,309,1,8610000US12138,17323,23,2017,12138
2951,12139,59,57750,156,0.5,Piseco,NY,New York,43.537279999999996,-74.5648,17475,12,1,8610000US12139,639,7,2017,12139
2952,12140,631,94226,1552,79.3,Poestenkill,NY,New York,42.691790000000005,-73.5627,17477,203,1,8610000US12140,11031,26,2017,12140
2953,12143,2008,55179,4800,102.4,Ravena,NY,New York,42.48578,-73.85203,17481,877,1,8610000US12143,37941,111,2017,12143
2954,12144,8918,65591,20272,419.2,Rensselaer,NY,New York,42.629740000000005,-73.71811,17486,9273,1,8610000US12144,616271,403,2017,12144
2955,12147,231,69375,529,9.8,Rensselaerville,NY,New York,42.51461,-74.15541999999999,17495,98,1,8610000US12147,3860,17,2017,12147
2956,12148,1870,107302,4414,112.7,Rexford,NY,New York,42.83448,-73.84742,17498,492,1,8610000US12148,19315,62,2017,12148
2957,12149,967,51417,2388,20.4,Richmondville,NY,New York,42.61828,-74.56494,17506,191,1,8610000US12149,15209,29,2017,12149
2958,12151,325,83681,792,105.5,Round Lake,NY,New York,42.92512,-73.78874,17509,386,1,8610000US12151,26340,31,2017,12151
2959,12153,357,78942,1027,17.4,Sand Lake,NY,New York,42.64045,-73.4687,17513,31,1,8610000US12153,840,9,2017,12153
2960,12154,1059,65890,2807,26.1,Schaghticoke,NY,New York,42.937709999999996,-73.60061999999999,17515,445,1,8610000US12154,17516,64,2017,12154
2961,12155,731,49250,1809,13.4,Schenevus,NY,New York,42.5956,-74.82455999999999,17520,70,1,8610000US12155,1884,20,2017,12155
2962,12156,385,68393,1151,22.8,Schodack Landing,NY,New York,42.47719,-73.74355,17523,378,1,8610000US12156,19840,15,2017,12156
2963,12157,1628,59500,4228,36.0,Schoharie,NY,New York,42.66587,-74.29884,17526,447,1,8610000US12157,13949,85,2017,12157
2964,12158,2601,85458,6852,79.6,Selkirk,NY,New York,42.54064,-73.82092,17531,1567,1,8610000US12158,127366,94,2017,12158
2965,12159,3291,86991,7845,216.4,Slingerlands,NY,New York,42.642379999999996,-73.88603,17538,1684,1,8610000US12159,67656,149,2017,12159
2966,12160,346,66667,872,20.6,Sloansville,NY,New York,42.75887,-74.3672,17544,27,1,8610000US12160,813,13,2017,12160
2967,12164,57,65625,347,3.0,Speculator,NY,New York,43.55385,-74.35818,17547,262,1,8610000US12164,6927,31,2017,12164
2968,12165,79,65625,191,20.9,Spencertown,NY,New York,42.31057,-73.50766999999999,17551,154,1,8610000US12165,17982,14,2017,12165
2969,12166,545,44659,1193,12.0,Sprakers,NY,New York,42.83871,-74.4528,17553,94,1,8610000US12166,3874,16,2017,12166
2970,12167,1167,45650,2737,20.6,Stamford,NY,New York,42.420759999999994,-74.58407,17555,576,1,8610000US12167,17852,55,2017,12167
2971,12168,929,63576,2053,21.6,Stephentown,NY,New York,42.560990000000004,-73.38082,17570,170,1,8610000US12168,4733,27,2017,12168
2972,12170,1878,66231,5061,63.4,Stillwater,NY,New York,42.99685,-73.66309,17565,244,1,8610000US12170,7321,65,2017,12170
2973,12172,108,46176,271,331.9,Stottville,NY,New York,42.28913,-73.73955,17571,66,1,8610000US12172,1503,5,2017,12172
2974,12173,760,80238,2100,39.4,Stuyvesant,NY,New York,42.387570000000004,-73.76025,17573,93,1,8610000US12173,4130,18,2017,12173
2975,12174,110,80238,316,115.9,Stuyvesant Falls,NY,New York,42.35338,-73.72854,17569,18,1,8610000US12174,427,7,2017,12174
2976,12175,210,50694,570,13.9,Summit,NY,New York,42.55148,-74.55279,17576,19,1,8610000US12175,271,6,2017,12175
2977,12177,242,58269,305,324.8,Tribes Hill,NY,New York,42.951,-74.28714000000001,17579,15,1,8610000US12177,403,8,2017,12177
2978,12180,21529,50669,53437,377.0,Troy,NY,New York,42.750609999999995,-73.60221,17581,20496,1,8610000US12180,919957,1159,2017,12180
2979,12182,6206,45281,14928,414.0,Troy,NY,New York,42.80041,-73.6329,17591,2501,1,8610000US12182,85833,212,2017,12182
2980,12183,1206,49875,2591,1354.0,Troy,NY,New York,42.74743,-73.69256,17599,1467,1,8610000US12183,75968,80,2017,12183
2981,12184,2566,76250,6871,71.6,Valatie,NY,New York,42.4205,-73.65420999999999,17605,1446,1,8610000US12184,45065,172,2017,12184
2982,12185,789,78472,2262,32.4,Valley Falls,NY,New York,42.9033,-73.53123000000001,17610,67,1,8610000US12185,3673,23,2017,12185
2983,12186,2471,92852,6047,76.6,Voorheesville,NY,New York,42.627520000000004,-73.97067,17613,884,1,8610000US12186,44491,109,2017,12186
2984,12187,199,49732,598,11.7,Warnerville,NY,New York,42.62195,-74.46226,17617,5,1,8610000US12187,139,3,2017,12187
2985,12188,4726,65991,10952,326.6,Waterford,NY,New York,42.81988,-73.69582,17619,3689,1,8610000US12188,327117,160,2017,12188
